Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-10-13,324.99,286.11,320.94,320.92,320.92,320.96,72358.76448046
2017-10-12,331.49,305.26,313.965,314.5,313.92,314.01,60498.53960677
2017-10-11,326.49,304.13,312.31,312.57,312.01,312.61,44166.48357042
2017-10-10,350.0,300.54,322.225,323.44,321.52,322.93,74095.60738451
2017-10-09,349.84,280.1,302.99,303.28,302.7,303.28,78362.25914687
2017-10-08,372.0,334.04,340.315,340.16,340.18,340.45,41532.0359548
2017-10-07,366.2,354.63,363.43,363.03,363.16,363.7,17123.98716673
2017-10-06,374.98,352.42,363.68,363.53,363.57,363.79,31430.60946747
2017-10-05,368.3,343.53,358.035,358.11,357.96,358.11,72018.28438031
2017-10-04,404.04,350.69,355.5,355.97,355.14,355.86,79706.04930279
2017-10-03,421.49,393.02,403.27,403.51,403.03,403.51,22755.79880615
2017-10-02,432.45,409.98,413.04,413.75,412.77,413.31,45287.24030096
2017-10-01,441.1,417.55,421.965,421.48,421.47,422.46,36108.0741592
2017-09-30,455.89,438.08,439.5,440.02,439.0,440.0,33321.60673652
2017-09-29,459.96,430.33,441.305,440.31,440.51,442.1,25924.08778609
2017-09-28,484.9,439.18,458.635,458.32,458.32,458.95,42711.4466999
2017-09-27,470.0,435.96,462.67,463.19,462.02,463.32,43078.75734195
2017-09-26,466.21,448.99,450.65,450.4,450.4,450.9,17013.49792733
2017-09-25,458.35,420.2,450.985,450.96,450.96,451.01,31502.63013925
2017-09-24,435.99,415.0,423.775,423.32,422.87,424.68,21075.86039135
2017-09-23,436.42,403.01,426.25,426.3,426.2,426.3,17303.7476867
2017-09-22,435.39,392.25,406.83,408.0,406.41,407.25,36526.29634889
2017-09-21,489.88,412.0,420.28,420.0,420.0,420.56,35220.87867904
2017-09-20,549.0,475.1,489.885,489.9,489.88,489.89,54101.31964989
2017-09-19,548.52,454.22,529.26,528.85,528.85,529.67,46866.23075183
2017-09-18,494.7,435.82,482.46,482.8,482.13,482.79,37056.75629237
2017-09-17,451.0,407.06,445.245,445.32,445.17,445.32,19394.39278977
2017-09-16,470.77,409.71,446.365,446.57,446.16,446.57,45096.20468471
2017-09-15,455.28,300.01,431.44,431.07,431.07,431.81,138671.3589809
2017-09-14,525.13,400.83,401.205,401.1,401.11,401.3,55215.63674769
2017-09-13,540.42,470.5,522.845,522.59,522.5,523.19,36684.98170473
2017-09-12,578.43,528.8,537.75,538.51,537.0,538.5,15760.45722393
2017-09-11,589.0,550.0,554.805,555.45,554.12,555.49,14300.70723499
2017-09-10,593.99,523.3,563.395,564.77,563.0,563.79,24719.52685319
2017-09-09,614.23,565.53,592.745,591.37,591.51,593.98,20096.90430843
2017-09-08,698.25,571.31,605.945,607.5,604.01,607.88,54200.27597481
2017-09-07,719.0,599.35,668.0,668.44,667.51,668.49,57156.2481782
2017-09-06,657.7,532.08,652.68,652.7,652.66,652.7,52590.44465618
2017-09-05,559.98,470.1,552.0,552.1,551.8,552.2,39232.57823173
2017-09-04,612.43,497.14,526.66,526.3,525.16,528.16,43716.5234614
2017-09-03,623.31,555.24,595.825,596.5,594.0,597.65,25171.07547871
2017-09-02,646.53,561.6,563.55,563.0,563.11,563.99,35076.61771231
2017-09-01,656.99,586.0,632.19,632.1,632.1,632.28,36427.87738671
2017-08-31,609.93,567.0,592.005,592.0,592.0,592.01,26220.86938236
2017-08-30,618.0,528.97,573.43,573.27,572.12,574.74,53297.00055133
2017-08-29,597.51,523.06,543.325,542.2,542.26,544.39,44310.87445762
2017-08-28,628.28,574.25,590.105,590.7,589.21,591.0,17860.63003021
2017-08-27,653.04,581.23,619.59,617.82,618.51,620.67,37081.09676024
2017-08-26,638.99,611.1,621.505,621.5,621.5,621.51,18664.57602389
2017-08-25,664.0,614.27,630.24,630.48,630.0,630.48,30224.65350468
2017-08-24,704.37,601.0,628.86,627.7,627.72,630.0,43158.59315706
2017-08-23,711.77,651.0,665.12,665.34,664.9,665.34,37460.72722586
2017-08-22,736.0,565.89,695.4,695.98,694.81,695.99,117308.77217164
2017-08-21,749.9,558.16,597.625,596.11,596.42,598.83,133610.23688299
2017-08-20,851.79,672.16,718.805,720.0,717.71,719.9,156206.42764363
2017-08-19,972.0,602.02,727.395,725.0,726.0,728.79,280812.47608425
2017-08-18,774.98,411.0,720.16,720.09,720.09,720.23,385534.4262894
2017-08-17,427.24,291.1,411.495,411.98,411.01,411.98,111012.46452658
2017-08-16,311.0,282.0,295.755,295.89,295.51,296.0,21957.11506568
2017-08-15,307.35,290.0,300.37,300.1,300.17,300.57,22645.62618271
2017-08-14,331.0,290.45,296.995,296.31,296.99,297.0,38250.2796991
2017-08-13,318.99,300.0,300.465,300.92,300.01,300.92,30644.79035243
2017-08-12,345.25,308.0,314.825,314.74,314.75,314.9,29490.31006262
2017-08-11,351.47,270.01,327.82,328.46,327.19,328.45,82749.36410094
2017-08-10,312.0,265.0,274.09,273.29,273.36,274.82,66804.87371554
2017-08-09,353.0,287.0,296.58,296.5,296.57,296.59,73455.6995149
2017-08-08,387.2,307.5,336.61,337.0,336.22,337.0,151018.6858673
2017-08-07,370.0,207.01,318.445,318.0,318.0,318.89,228849.89242224
2017-08-06,222.99,190.1,210.62,210.8,210.41,210.83,73206.08559107
2017-08-05,277.45,194.66,202.695,202.1,202.17,203.22,87041.64887546
2017-08-04,354.0,248.0,256.3,256.5,255.5,257.1,82980.75509459
2017-08-03,435.0,302.1,323.44,323.3,323.3,323.58,48427.52017975
2017-08-02,693.7,295.11,372.49,375.0,370.01,374.97,66494.34433276
