Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-11-25,568.92,541.11,561.905,562.77,561.04,562.77,16708.48327813
2017-11-24,584.36,547.0,557.295,557.36,557.24,557.35,31127.05711782
2017-11-23,596.87,492.12,572.63,573.37,571.89,573.37,65182.62591622
2017-11-22,525.0,451.53,492.65,493.13,491.9,493.4,61614.13840222
2017-11-21,496.8,437.0,474.81,475.8,473.82,475.8,18114.15695047
2017-11-20,455.0,423.94,442.125,442.3,441.95,442.3,17345.42282876
2017-11-19,478.98,421.0,454.32,454.0,453.68,454.96,39429.89594306
2017-11-18,444.93,411.0,424.135,423.8,423.8,424.47,26828.46720411
2017-11-17,427.27,408.78,420.755,420.2,420.21,421.3,20296.81798183
2017-11-16,441.49,408.54,421.355,420.74,420.75,421.96,19585.8636864
2017-11-15,440.0,400.0,422.45,422.46,422.0,422.9,29024.07265244
2017-11-14,494.53,394.0,420.615,421.33,419.97,421.26,78991.90815242
2017-11-13,493.77,310.0,482.995,485.0,481.01,484.98,137185.74776702
2017-11-12,350.51,315.13,342.885,342.28,342.37,343.4,23203.1614763
2017-11-11,352.41,305.12,326.97,328.71,325.28,328.66,37962.71014227
2017-11-10,338.0,310.21,324.965,325.93,324.05,325.88,29578.24548561
2017-11-09,316.95,285.0,314.35,314.48,313.53,315.17,32006.1672175
2017-11-08,303.0,273.61,289.29,288.76,288.76,289.82,27119.94104518
2017-11-07,279.69,264.31,273.015,272.62,272.25,273.78,11421.89152854
2017-11-05,275.98,268.51,270.715,270.03,270.03,271.4,5996.16999253
2017-11-04,280.99,257.1,270.75,271.26,270.32,271.18,16925.13586663
2017-11-03,274.99,252.18,271.19,270.97,271.08,271.3,14197.33145597
2017-11-02,272.45,247.59,258.67,259.22,258.12,259.22,17763.32080453
2017-11-01,280.15,269.04,271.61,270.89,270.93,272.29,9025.5772878
2017-10-31,286.58,278.0,279.57,280.21,279.1,280.04,5952.66680375
2017-10-30,288.5,281.58,285.03,285.4,284.66,285.4,5845.25790398
2017-10-29,290.0,272.72,283.42,284.19,282.84,284.0,10744.78343739
2017-10-28,286.73,257.36,271.91,272.82,270.99,272.83,17848.22650529
2017-10-27,288.0,277.12,279.785,279.81,279.27,280.3,7602.78933246
2017-10-26,290.0,275.45,285.695,285.5,285.5,285.89,10360.86677094
2017-10-25,297.96,280.41,287.07,286.26,286.06,288.08,6871.91180728
2017-10-24,300.99,270.32,293.175,293.0,293.0,293.35,19928.62370069
2017-10-23,289.12,261.11,281.93,282.29,281.57,282.29,12370.37016991
2017-10-22,284.07,256.51,272.89,273.21,272.49,273.29,19386.94958023
2017-10-21,291.95,270.0,279.495,279.55,279.16,279.83,9369.70738701
2017-10-20,301.96,286.51,288.51,287.85,287.99,289.03,11031.08207418
2017-10-19,299.99,290.0,295.975,295.78,295.78,296.17,3789.59223748
2017-10-18,300.0,277.5,296.365,297.1,295.63,297.1,11475.7236957
2017-10-17,302.5,295.0,299.155,298.78,298.76,299.55,12343.66596141
2017-10-16,313.08,295.57,302.215,302.5,302.17,302.26,11349.27506979
2017-10-15,319.66,290.0,307.315,307.98,306.72,307.91,12511.62260682
2017-10-14,319.42,303.98,318.69,318.89,318.62,318.76,9259.39244917
2017-10-13,311.53,287.17,308.09,308.83,307.36,308.82,16450.81914007
2017-10-12,300.79,287.2,292.875,292.87,292.87,292.88,6007.06284157
2017-10-11,301.93,285.05,299.205,298.64,298.81,299.6,5192.70009204
2017-10-10,297.21,279.28,292.48,293.53,291.49,293.47,6316.43056613
2017-10-09,304.09,270.1,283.86,284.0,283.72,284.0,17862.15574835
2017-10-08,317.71,301.9,302.05,301.9,301.9,302.2,6040.19914817
2017-10-07,315.0,301.04,311.51,312.0,311.48,311.54,3611.5257204
2017-10-06,312.9,303.03,304.2,304.1,304.1,304.3,5366.23256468
2017-10-05,310.97,292.4,307.845,307.66,307.49,308.2,6613.15475918
2017-10-04,317.3,294.01,303.695,303.67,303.67,303.72,11803.78338903
2017-10-03,310.39,289.1,294.685,295.04,294.33,295.04,7708.03796463
2017-10-02,322.55,305.4,306.02,306.23,305.81,306.23,5679.82579941
2017-10-01,330.62,313.09,317.615,318.03,316.67,318.56,6326.15608378
2017-09-30,335.47,326.55,329.27,329.95,329.0,329.54,5848.72987238
2017-09-29,344.23,318.1,328.415,327.79,328.05,328.78,13596.11526792
2017-09-28,353.75,335.67,343.155,343.15,342.96,343.35,8429.21886616
2017-09-27,355.0,335.7,352.49,353.06,352.07,352.91,9901.03605155
2017-09-26,355.75,339.05,343.29,342.57,342.57,344.01,6885.37400395
2017-09-25,352.01,327.0,349.385,349.22,349.22,349.55,14117.49769613
2017-09-24,359.13,329.11,333.995,333.87,333.88,334.11,15093.5385581
2017-09-23,359.03,335.27,349.765,350.53,349.14,350.39,11580.197037
2017-09-22,358.47,325.2,341.805,342.3,341.66,341.95,18568.22692721
2017-09-21,370.0,320.67,330.02,329.44,329.44,330.6,37234.44152753
2017-09-20,349.0,315.98,348.995,348.99,348.99,349.0,13279.17378981
2017-09-19,336.0,311.36,324.345,325.04,324.12,324.57,7406.98984294
2017-09-18,339.94,307.51,332.85,332.6,332.6,333.1,11141.34701233
2017-09-17,310.04,275.0,307.305,307.5,307.1,307.51,7778.09456994
2017-09-16,304.98,275.0,299.58,299.13,299.18,299.98,10536.53646593
2017-09-15,300.0,219.6,295.2,294.87,294.8,295.6,26669.28168805
2017-09-14,304.08,242.0,243.33,245.82,242.97,243.69,15067.96623865
2017-09-13,327.58,283.16,302.68,303.76,301.69,303.67,7671.24066613
2017-09-12,331.1,317.61,326.5,326.0,326.0,327.0,13218.6282343
2017-09-11,333.4,315.0,319.305,319.74,318.84,319.77,9482.15927523
2017-09-10,328.66,295.45,326.185,326.82,326.01,326.36,10743.39533845
2017-09-09,334.23,312.63,325.005,325.51,324.53,325.48,9408.7116158
2017-09-08,372.83,313.59,326.4,325.9,325.94,326.86,16243.08467995
2017-09-07,352.97,333.14,344.285,344.29,344.28,344.29,4769.05984462
2017-09-06,353.62,323.32,348.135,348.59,347.69,348.58,8603.10128826
2017-09-05,329.99,279.84,329.56,329.99,329.13,329.99,27534.28387941
2017-09-04,360.42,294.97,323.635,322.74,322.75,324.52,15790.53165306
2017-09-03,374.4,333.55,354.995,354.84,354.63,355.36,9109.50588091
2017-09-02,401.01,328.01,341.84,341.53,341.53,342.15,17921.96430655
2017-09-01,395.1,375.11,394.995,395.0,394.99,395.0,11175.59953275
2017-08-31,382.91,369.06,381.7,381.4,381.4,382.0,5590.62082519
2017-08-30,376.91,357.27,368.505,370.0,367.21,369.8,4887.02239457
2017-08-29,369.5,351.8,357.28,357.98,356.56,358.0,8264.55725337
2017-08-28,368.97,346.0,353.62,353.91,352.59,354.65,8927.28207785
2017-08-27,403.22,355.14,365.145,364.62,364.62,365.67,15777.24962066
2017-08-26,412.77,313.18,403.33,403.0,403.0,403.66,35878.47348853
2017-08-25,320.99,302.49,314.56,314.99,314.13,314.99,9997.28678941
2017-08-24,312.31,289.75,303.32,303.01,303.01,303.63,6954.43140259
2017-08-23,297.55,285.96,292.025,292.47,292.02,292.03,7279.75498398
2017-08-22,302.87,252.7,287.76,287.04,287.01,288.51,13829.8994606
2017-08-21,300.47,275.01,278.61,279.73,278.01,279.21,7297.06093637
2017-08-20,323.99,282.01,300.05,299.01,299.01,301.09,17942.71829526
2017-08-19,318.99,221.44,299.89,300.82,299.01,300.77,40015.23823383
2017-08-18,240.0,216.83,224.325,225.39,223.5,225.15,7501.16532867
2017-08-17,262.78,227.88,238.87,239.48,238.41,239.33,27977.50560699
2017-08-16,234.95,197.61,228.36,228.53,227.88,228.84,16723.46235778
2017-08-15,205.8,190.0,202.505,202.71,202.32,202.69,8903.20020905
2017-08-14,203.76,193.6,197.34,197.12,197.12,197.56,6166.12205358
2017-08-13,208.56,190.72,198.37,198.11,198.26,198.48,9173.76698697
2017-08-12,211.18,200.0,204.755,204.97,204.56,204.95,5771.65880131
2017-08-11,208.53,198.0,207.52,207.4,207.4,207.64,5533.09069202
2017-08-10,207.04,194.09,201.75,201.16,201.31,202.19,5660.71529315
2017-08-09,206.66,191.35,197.94,198.12,197.57,198.31,6162.69134909
2017-08-08,203.3,191.57,203.02,202.81,203.0,203.04,4009.22922533
2017-08-07,199.06,186.83,196.605,196.52,196.52,196.69,8679.24070135
2017-08-06,196.41,188.5,190.315,191.0,189.95,190.68,3111.71326854
2017-08-05,197.5,185.7,192.555,192.97,192.04,193.07,9427.57326971
2017-08-04,191.17,185.7,186.725,186.29,186.33,187.12,4104.94824742
2017-08-03,191.67,178.21,188.175,187.31,187.65,188.7,4556.59445393
2017-08-02,185.67,180.0,183.13,183.37,182.9,183.36,3839.02400494
2017-08-01,186.0,172.5,182.285,182.57,182.05,182.52,12086.41603565
2017-07-31,179.78,168.0,176.32,176.54,175.94,176.7,5495.49126945
2017-07-30,188.0,169.83,170.075,170.93,169.99,170.16,4618.69404038
2017-07-29,186.62,168.67,184.31,184.48,184.14,184.48,9295.61134962
2017-07-28,196.46,180.07,184.45,183.52,183.82,185.08,6789.22624049
2017-07-27,199.66,188.78,195.185,195.02,195.0,195.37,7272.15589315
2017-07-26,202.24,183.51,188.355,188.53,187.93,188.78,5864.18718517
2017-07-25,213.79,184.03,191.765,193.14,190.54,192.99,9996.12719163
2017-07-24,218.95,190.0,206.6,205.73,205.37,207.83,13887.85019688
2017-07-23,199.0,186.36,191.545,190.84,190.95,192.14,3355.15431268
2017-07-22,197.47,185.18,196.74,196.62,196.62,196.86,4879.78769931
2017-07-21,198.0,180.76,187.265,187.99,186.48,188.05,9706.67415027
