Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-10-14,348.0,334.05,343.555,343.64,343.5,343.61,138039.01065132
2017-10-13,350.0,298.0,339.275,339.28,339.27,339.28,409663.82185695
2017-10-12,310.01,302.1,304.505,304.0,304.5,304.51,184594.24183269
2017-10-11,306.55,296.6,302.58,302.43,302.5,302.66,119668.06506161
2017-10-10,307.0,292.57,298.885,298.89,298.88,298.89,101095.02581694
2017-10-09,311.16,287.03,297.325,297.41,297.08,297.57,180496.58398105
2017-10-08,315.0,307.55,309.905,309.9,309.9,309.91,110955.61846449
2017-10-07,314.89,304.5,314.845,314.89,314.8,314.89,120252.80785321
2017-10-06,305.73,293.04,305.205,305.2,305.2,305.21,97451.99734896
2017-10-05,297.92,285.12,297.355,297.36,297.35,297.36,91281.22333356
2017-10-04,296.0,287.56,291.555,291.57,291.55,291.56,112392.20964971
2017-10-03,300.5,285.93,291.605,291.61,291.6,291.61,130285.62860635
2017-10-02,305.0,292.1,295.685,295.76,295.57,295.8,136784.50421
2017-10-01,305.57,295.0,304.94,304.84,304.88,305.0,109283.59355687
2017-09-30,307.76,291.0,303.16,303.09,303.1,303.22,130157.10118012
2017-09-29,303.9,280.5,292.345,292.36,292.25,292.44,276431.5725463
2017-09-28,311.77,297.75,301.71,301.68,301.68,301.74,144962.88204551
2017-09-27,315.51,286.93,309.685,309.68,309.68,309.69,213596.44752507
2017-09-26,296.38,285.2,288.535,288.54,288.53,288.54,103749.28544673
2017-09-25,297.93,280.98,294.485,294.62,294.24,294.73,191134.37396264
2017-09-24,294.54,275.41,287.02,286.94,286.93,287.11,198699.23983242
2017-09-23,287.2,259.01,282.155,282.15,282.15,282.16,159216.63538622
2017-09-22,269.5,253.03,261.095,261.13,261.08,261.11,186365.33598927
2017-09-21,288.82,251.52,258.845,258.85,258.84,258.85,295051.93624258
2017-09-20,294.0,277.0,288.205,288.21,288.2,288.21,144212.88394512
2017-09-19,299.0,275.0,282.915,282.91,282.91,282.92,268065.49052929
2017-09-18,299.89,255.0,293.365,293.36,293.36,293.37,383777.89145442
2017-09-17,263.69,239.0,258.58,258.42,258.46,258.7,192407.11358752
2017-09-16,270.0,242.2,254.235,254.27,254.2,254.27,318370.08676002
2017-09-15,269.0,198.0,260.325,260.32,260.32,260.33,976136.22456159
2017-09-14,281.01,222.94,228.915,228.97,228.86,228.97,631597.1037957
2017-09-13,296.0,256.0,280.375,280.3,280.35,280.4,440497.87076724
2017-09-12,316.73,283.0,295.98,296.01,295.91,296.05,256165.6921923
2017-09-11,308.0,287.33,297.065,297.07,297.06,297.07,181274.54433564
2017-09-10,306.0,276.11,301.965,301.96,301.96,301.97,250891.29735482
2017-09-09,309.47,291.46,304.795,304.97,304.79,304.8,171207.66731682
2017-09-08,336.0,291.0,306.36,306.27,306.3,306.42,308157.94254191
2017-09-07,338.66,321.1,335.28,335.37,335.25,335.31,165699.79728981
2017-09-06,339.5,313.13,335.97,335.9,335.94,336.0,239978.35651368
2017-09-05,321.45,267.64,320.315,320.4,320.2,320.43,384848.61610654
2017-09-04,351.59,275.0,301.32,301.39,301.25,301.39,563441.81137266
2017-09-03,368.4,328.33,348.085,348.09,348.08,348.09,213587.85707887
2017-09-02,390.77,325.1,333.425,333.56,333.31,333.54,305264.77649687
2017-09-01,395.03,383.6,388.99,389.08,388.98,389.0,132568.9017528
2017-08-31,390.0,380.1,386.255,386.26,386.25,386.26,98588.76778378
2017-08-30,390.1,365.1,385.195,385.1,385.09,385.3,190596.80261787
2017-08-29,375.98,345.65,374.925,375.67,374.78,375.07,178941.74535963
2017-08-28,352.0,332.74,346.36,345.91,346.31,346.41,120009.60725253
2017-08-27,342.0,331.8,340.905,340.98,340.82,340.99,94831.77159394
2017-08-26,334.6,324.5,332.03,332.01,332.02,332.04,93042.45830673
2017-08-25,338.25,322.79,329.87,329.69,329.71,330.03,108983.34947403
2017-08-24,329.56,314.14,325.045,325.09,325.0,325.09,90320.96307568
2017-08-23,325.0,311.65,316.715,316.79,316.6,316.83,117942.37277328
2017-08-22,329.96,285.01,315.595,315.61,315.58,315.61,252127.33764343
2017-08-21,346.99,294.53,320.02,320.01,320.0,320.04,326577.30224052
2017-08-20,297.28,286.96,296.88,296.94,296.81,296.95,86780.7796233
2017-08-19,298.51,280.0,292.59,292.41,292.5,292.68,157196.60767905
2017-08-18,307.0,286.0,292.675,292.68,292.67,292.68,163550.27857084
2017-08-17,312.0,297.01,301.405,301.13,301.16,301.65,137028.6346144
2017-08-16,304.0,279.94,299.925,300.0,299.9,299.95,150255.19004742
2017-08-15,300.01,272.29,284.81,285.0,284.7,284.92,183836.89834576
2017-08-14,306.48,293.99,297.595,297.4,297.59,297.6,103807.11985728
2017-08-13,308.7,285.21,297.16,297.13,297.13,297.19,167607.5089922
