Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-10-13,60.84,54.599,58.8935,58.981,58.87,58.917,752680.95628364
2017-10-12,59.92,50.67,56.676,56.634,56.634,56.718,649286.46261229
2017-10-11,51.163,50.146,50.7555,50.755,50.755,50.756,153278.23306296
2017-10-10,51.789,49.651,50.6475,50.648,50.647,50.648,222504.05059943
2017-10-09,53.793,47.942,50.0515,50.063,50.051,50.052,319433.236739
2017-10-08,54.825,52.309,53.6475,53.647,53.647,53.648,218906.29424535
2017-10-07,52.88,51.5,52.83,52.809,52.812,52.848,123555.06251639
2017-10-06,52.8,51.35,52.0405,52.04,52.04,52.041,116820.40032946
2017-10-05,51.948,50.12,51.835,51.839,51.831,51.839,172956.70174706
2017-10-04,53.0,50.5,51.3975,51.402,51.393,51.402,198815.88045314
2017-10-03,53.571,51.111,51.9955,51.999,51.992,51.999,150739.26529295
2017-10-02,55.222,52.8,53.1095,53.109,53.109,53.11,194360.77092467
2017-10-01,55.892,53.503,54.9565,54.931,54.953,54.96,195932.80751769
2017-09-30,56.014,52.518,55.54,55.529,55.528,55.552,231801.0481789
2017-09-29,55.08,50.52,52.9735,52.968,52.968,52.979,344243.00102549
2017-09-28,57.4,53.867,54.8535,54.864,54.843,54.864,394465.04021259
2017-09-27,57.571,52.06,56.4985,56.51,56.487,56.51,415810.63482616
2017-09-26,54.5,51.28,52.39,52.458,52.36,52.42,308288.7667649
2017-09-25,53.24,47.177,52.3075,52.316,52.299,52.316,440955.91202634
2017-09-24,49.453,47.0,47.6705,47.67,47.67,47.671,207295.63774949
2017-09-23,49.89,46.201,48.863,48.843,48.846,48.88,343958.17491115
2017-09-22,48.7,44.501,47.537,47.541,47.533,47.541,541346.71346135
2017-09-21,52.704,44.508,46.6,46.681,46.501,46.699,728909.31264236
2017-09-20,54.62,50.951,52.667,52.693,52.652,52.682,255087.37560387
2017-09-19,57.1,50.926,53.095,53.125,53.081,53.109,563925.98345452
2017-09-18,57.4,50.504,55.794,55.799,55.791,55.797,567808.04639062
2017-09-17,53.0,47.539,51.268,51.232,51.236,51.3,452149.02468573
2017-09-16,57.0,49.5,52.201,52.168,52.166,52.236,817519.44765017
2017-09-15,55.39,32.454,52.6805,52.76,52.601,52.76,2523457.8064488
2017-09-14,62.899,46.473,47.2625,47.217,47.227,47.298,1245096.1245788
2017-09-13,67.037,57.25,62.694,62.7,62.689,62.699,731008.6712926
2017-09-12,72.01,63.981,67.0135,67.0,67.0,67.027,485039.4496492
2017-09-11,71.532,65.0,68.0645,68.06,68.03,68.099,392597.86657228
2017-09-10,72.477,62.5,67.9515,67.95,67.95,67.953,565026.30324149
2017-09-09,74.2,68.62,72.14,72.1,72.1,72.18,387118.98174455
2017-09-08,82.3,65.306,72.909,72.9,72.88,72.938,728348.49612371
2017-09-07,83.092,76.96,80.8845,80.947,80.833,80.936,349074.8453238
2017-09-06,81.905,72.0,81.641,81.68,81.602,81.68,577658.13437863
2017-09-05,73.606,60.65,73.3295,73.36,73.299,73.36,669839.6301243
2017-09-04,79.738,61.5,68.445,68.59,68.3,68.59,843287.82355238
2017-09-03,83.8,72.4,78.7585,78.758,78.758,78.759,542921.70663422
2017-09-02,93.716,71.569,75.111,75.127,75.031,75.191,1036052.8467014
2017-09-01,89.95,71.145,85.033,85.1,84.966,85.1,1044938.6657219
2017-08-31,74.27,63.456,72.443,72.399,72.399,72.487,483972.31915384
2017-08-30,63.83,61.35,63.599,63.598,63.598,63.6,199867.78177667
2017-08-29,63.939,60.51,62.4705,62.46,62.47,62.471,204424.70688737
2017-08-28,65.0,58.1,62.1325,62.005,62.011,62.254,389186.76057156
2017-08-27,64.289,51.217,61.0605,61.01,61.011,61.11,625112.07639293
2017-08-26,52.109,49.821,51.4565,51.422,51.422,51.491,121012.5490571
2017-08-25,52.274,49.259,51.0955,51.095,51.095,51.096,165511.1254338
2017-08-24,53.984,49.66,50.192,50.209,50.175,50.209,366035.16886395
2017-08-23,55.0,45.513,51.5455,51.593,51.501,51.59,507343.05300537
2017-08-22,48.865,44.496,46.424,46.395,46.391,46.457,196471.09976984
2017-08-21,48.75,45.035,48.626,48.602,48.602,48.65,149995.59288116
2017-08-20,47.314,43.844,46.692,46.666,46.666,46.718,84110.02518887
2017-08-19,47.002,42.7,45.12,45.084,45.09,45.15,143917.30920338
2017-08-18,47.911,43.011,44.6465,44.666,44.627,44.666,203234.72129431
2017-08-17,44.909,42.91,43.901,43.87,43.861,43.941,106580.78275224
2017-08-16,44.899,41.96,44.1145,44.062,44.1,44.129,116229.90726385
2017-08-15,45.576,41.311,43.4595,43.468,43.45,43.469,204266.8317663
2017-08-14,46.29,44.852,45.3705,45.359,45.37,45.371,91953.89894756
2017-08-13,47.75,43.84,45.195,45.2,45.19,45.2,170760.66380223
2017-08-12,47.642,45.75,46.0215,46.01,46.01,46.033,129362.37979686
2017-08-11,47.545,45.999,47.163,47.034,47.036,47.29,110261.70477884
2017-08-10,48.657,47.073,47.5375,47.539,47.536,47.539,61941.41209559
2017-08-09,50.247,46.711,47.4285,47.432,47.4,47.457,214245.02307957
2017-08-08,49.065,45.56,48.9645,48.961,48.961,48.968,197079.16982545
2017-08-07,46.79,45.174,45.8225,45.814,45.815,45.83,86075.48610851
2017-08-06,47.19,45.0,45.38,45.355,45.357,45.403,118911.86754869
2017-08-05,47.232,42.932,45.793,45.721,45.729,45.857,219581.62718075
2017-08-04,43.746,42.283,42.98,42.998,42.963,42.997,85254.0567295
2017-08-03,42.99,41.499,42.67,42.703,42.641,42.699,79957.88236
2017-08-02,43.282,41.438,41.7205,41.702,41.711,41.73,117249.94777679
2017-08-01,44.381,40.195,43.24,43.26,43.235,43.245,218441.94006652
2017-07-31,43.5,38.111,42.3705,42.369,42.369,42.372,193416.28911066
2017-07-30,42.0,39.568,40.2155,40.218,40.215,40.216,82475.70242561
2017-07-29,41.375,38.37,40.6835,40.743,40.639,40.728,92763.88092876
2017-07-28,42.153,39.509,40.312,40.384,40.311,40.313,127563.18656861
2017-07-27,42.415,40.542,42.0635,42.064,42.063,42.064,98661.30054523
2017-07-26,42.83,40.101,41.8615,41.885,41.85,41.873,126005.12941389
2017-07-25,45.48,40.185,41.3665,41.366,41.366,41.367,250706.27780828
2017-07-24,45.715,44.06,45.2625,45.242,45.242,45.283,61504.09265466
2017-07-23,47.6,43.62,44.9705,44.942,44.943,44.998,126243.46214383
2017-07-22,47.5,45.135,47.3965,47.44,47.355,47.438,97409.40364003
2017-07-21,47.965,44.001,45.8665,45.816,45.817,45.916,215265.20858384
2017-07-20,46.2,39.5,44.577,44.62,44.537,44.617,194643.83756037
2017-07-19,44.25,39.575,40.3245,40.199,40.248,40.401,152937.82517657
2017-07-18,44.9,40.638,43.2305,43.24,43.229,43.232,247661.51969801
2017-07-17,43.1,39.635,42.4205,42.421,42.42,42.421,268322.77398573
2017-07-16,41.2,36.0,41.1495,41.1,41.1,41.199,272278.91919178
2017-07-15,42.5,37.701,39.5745,39.619,39.53,39.619,246626.99212682
2017-07-14,45.8,39.61,42.101,42.152,42.049,42.153,233554.77073056
2017-07-13,47.39,43.76,45.053,45.057,45.009,45.097,126422.46907939
2017-07-12,48.0,41.21,46.774,46.717,46.71,46.838,232794.18750616
2017-07-11,46.0,40.0,43.566,43.6,43.532,43.6,345554.43940336
2017-07-10,49.54,43.382,44.3415,44.33,44.33,44.353,285931.05028175
2017-07-09,52.153,48.24,49.127,49.162,49.044,49.21,171738.199955
2017-07-08,51.29,43.557,50.894,50.939,50.85,50.938,267397.84895014
2017-07-07,51.399,44.5,45.2585,45.294,45.235,45.282,382947.75625372
2017-07-06,53.468,49.235,51.2315,51.177,51.177,51.286,137616.21435292
2017-07-05,55.471,48.561,53.2415,53.261,53.23,53.253,303083.70403596
2017-07-04,53.498,45.185,52.44,52.402,52.402,52.478,399761.98709609
2017-07-03,47.36,39.475,46.0125,45.981,45.961,46.064,315454.48432422
2017-07-02,41.25,35.7,39.945,39.989,39.901,39.989,105284.40159605
2017-07-01,39.241,35.61,36.365,36.365,36.365,36.365,82345.78662911
2017-06-30,40.76,38.301,38.9845,38.924,38.933,39.036,66617.91046959
2017-06-29,41.757,38.02,39.6835,39.6,39.601,39.766,89356.92526522
2017-06-28,42.465,37.16,41.049,41.006,41.01,41.088,159432.30830644
