Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-11-25,0.24472,0.22961,0.24075,0.2406,0.2406,0.2409,58792689.704444
2017-11-24,0.25109,0.2354,0.23871,0.23878,0.23864,0.23878,62251033.91502
2017-11-23,0.2424,0.23158,0.23833,0.23849,0.23817,0.23849,39369285.662123
2017-11-22,0.24501,0.22418,0.232075,0.232,0.232,0.23215,49973982.454802
2017-11-21,0.247,0.23118,0.241085,0.24098,0.24099,0.24118,50580509.331159
2017-11-20,0.23875,0.22375,0.232705,0.23264,0.2325,0.23291,41774017.787053
2017-11-19,0.23019,0.21852,0.227535,0.22742,0.22742,0.22765,33381708.23954
2017-11-18,0.2436,0.21662,0.224045,0.22379,0.2239,0.22419,83501532.80137
2017-11-17,0.2815,0.20574,0.22653,0.2267,0.22636,0.2267,265344552.46852
2017-11-16,0.21023,0.20301,0.2086,0.20867,0.2085,0.2087,25973964.709812
2017-11-15,0.211,0.1989,0.204765,0.20465,0.20443,0.2051,26331471.36799
2017-11-14,0.2,0.18932,0.199995,0.2,0.19999,0.2,36473244.304075
2017-11-13,0.20876,0.18706,0.190355,0.19001,0.1901,0.19061,92699873.058866
2017-11-12,0.215,0.2015,0.20842,0.20894,0.2079,0.20894,32725605.711265
2017-11-11,0.21853,0.19801,0.202935,0.20295,0.20292,0.20295,35545540.197305
2017-11-10,0.222,0.212,0.216335,0.21628,0.2163,0.21637,32840663.415552
2017-11-09,0.22417,0.20233,0.21721,0.21747,0.21695,0.21747,41518964.593976
2017-11-08,0.2065,0.199,0.205425,0.2052,0.2052,0.20565,16885767.865372
2017-11-07,0.20713,0.19782,0.20143,0.20189,0.20098,0.20188,20405025.864678
2017-11-05,0.20342,0.19811,0.199925,0.19994,0.19991,0.19994,11842878.857438
2017-11-04,0.2098,0.19924,0.20225,0.20281,0.20172,0.20278,13065004.711487
2017-11-03,0.2288,0.188,0.207885,0.20778,0.20778,0.20799,63425064.73625
2017-11-02,0.19905,0.17421,0.19322,0.19324,0.1932,0.19324,36524075.493384
2017-11-01,0.20055,0.1901,0.191385,0.19164,0.19103,0.19174,16972347.051357
2017-10-31,0.20345,0.19852,0.199235,0.19923,0.19923,0.19924,8636565.6743444
2017-10-30,0.205,0.19996,0.20166,0.20179,0.20154,0.20178,10049715.002796
2017-10-29,0.20659,0.1961,0.2025,0.20275,0.20225,0.20275,13005856.650956
2017-10-28,0.2008,0.19671,0.19846,0.19832,0.19832,0.1986,6181380.0925447
2017-10-27,0.2028,0.19766,0.200475,0.2008,0.20016,0.20079,7791206.5410104
2017-10-26,0.2048,0.1986,0.20163,0.20127,0.20127,0.20199,12314104.650708
2017-10-25,0.20647,0.19562,0.202265,0.2022,0.2022,0.20233,46984438.764008
2017-10-24,0.21697,0.18289,0.206085,0.20591,0.20591,0.20626,85491154.988395
2017-10-23,0.202,0.1823,0.19245,0.1925,0.1924,0.1925,28976677.708807
2017-10-22,0.21215,0.19449,0.200475,0.2005,0.2003,0.20065,39084653.728493
2017-10-21,0.21098,0.197,0.20623,0.20608,0.20608,0.20638,32286721.089024
2017-10-20,0.2234,0.20502,0.206655,0.2067,0.20661,0.2067,51369326.476117
2017-10-19,0.2327,0.206,0.213465,0.2135,0.2132,0.21373,67435631.867739
2017-10-18,0.23454,0.19964,0.216895,0.21699,0.2168,0.21699,74549031.158912
2017-10-17,0.2659,0.21,0.22505,0.2254,0.2247,0.2254,92090023.102841
2017-10-16,0.3,0.25152,0.259945,0.25999,0.2599,0.25999,151067344.66781
2017-10-15,0.27,0.24701,0.261845,0.262,0.26141,0.26228,51466195.742829
2017-10-14,0.2692,0.254,0.258705,0.25874,0.2587,0.25871,73385002.581889
2017-10-13,0.2657,0.23231,0.25769,0.25778,0.2576,0.25778,74485234.743491
2017-10-12,0.26539,0.24559,0.253175,0.2524,0.25293,0.25342,47088684.674648
2017-10-11,0.26589,0.2546,0.26204,0.2627,0.2619,0.26218,35086908.942164
2017-10-10,0.267,0.2415,0.257695,0.25769,0.25769,0.2577,47782437.476741
2017-10-09,0.28198,0.23325,0.246235,0.24628,0.24619,0.24628,85917895.865377
2017-10-08,0.284,0.23847,0.276465,0.27637,0.27638,0.27655,66371849.919819
2017-10-07,0.24098,0.2323,0.240865,0.24097,0.24076,0.24097,19997975.487586
2017-10-06,0.24472,0.23169,0.235075,0.235,0.23505,0.2351,46353092.390307
2017-10-05,0.24462,0.21137,0.239195,0.2387,0.2387,0.23969,68758555.046313
2017-10-04,0.2166,0.20093,0.21239,0.21194,0.21207,0.21271,22479709.819951
2017-10-03,0.206,0.19722,0.202405,0.2024,0.2024,0.20241,8068704.480522
2017-10-02,0.20977,0.2,0.203655,0.20458,0.20361,0.2037,12583799.189858
2017-10-01,0.20325,0.19573,0.20242,0.20269,0.20215,0.20269,6962403.8301684
2017-09-30,0.20586,0.19436,0.1996,0.19913,0.19913,0.20007,18694503.654843
2017-09-29,0.2052,0.18746,0.1967,0.19625,0.1964,0.197,15718566.270905
2017-09-28,0.2112,0.19608,0.20286,0.20235,0.20235,0.20337,21160900.283428
2017-09-27,0.21497,0.18716,0.210195,0.21,0.21,0.21039,29149105.306859
2017-09-26,0.19698,0.17977,0.192785,0.19294,0.19262,0.19295,16360496.736591
2017-09-25,0.187,0.17389,0.185635,0.1855,0.18535,0.18592,7186307.4606029
2017-09-24,0.1799,0.1731,0.17655,0.17591,0.17635,0.17675,4475751.7938934
