Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-10-21,225.69,207.0,213.025,213.31,212.74,213.31,15122.4269891
2017-10-20,235.39,222.9,224.56,223.33,223.69,225.43,9498.58576487
2017-10-19,239.5,224.0,230.76,231.15,230.43,231.09,13125.05327044
2017-10-18,238.78,213.22,229.7,230.0,229.4,230.0,16045.74225705
2017-10-17,251.94,226.75,230.22,229.12,230.12,230.32,25586.20064248
2017-10-16,237.49,228.05,233.415,232.82,233.36,233.47,8329.07729888
2017-10-15,242.0,226.53,232.755,232.73,232.28,233.23,10994.05355537
2017-10-14,244.18,237.7,239.65,239.11,239.58,239.72,7263.17900709
2017-10-13,256.0,222.0,243.6,243.73,243.44,243.76,29306.23451499
2017-10-12,238.9,225.9,229.355,229.18,229.14,229.57,13218.98202796
2017-10-11,240.15,229.3,235.875,236.1,235.39,236.36,5855.0004705
2017-10-10,244.44,225.24,236.455,236.08,236.36,236.55,11912.97232383
2017-10-09,244.92,222.0,230.52,230.71,230.37,230.67,16447.90261676
2017-10-08,266.29,240.9,241.35,241.71,240.92,241.78,12737.39383151
2017-10-07,261.0,243.2,255.615,256.49,255.24,255.99,10549.93127447
2017-10-06,274.7,252.38,257.8,257.38,257.64,257.96,22726.54255746
2017-10-05,267.7,227.3,262.505,262.59,262.43,262.58,26552.38172155
2017-10-04,256.47,236.19,237.72,237.37,237.37,238.07,11552.26555829
2017-10-03,261.53,236.4,254.045,254.19,254.01,254.08,20536.29383612
2017-10-02,279.43,252.19,257.955,257.92,257.95,257.96,28422.33211261
2017-10-01,281.7,268.2,270.3,270.3,270.0,270.6,12638.20138591
2017-09-30,297.0,275.27,277.885,278.37,277.41,278.36,24570.62639413
2017-09-29,313.71,270.3,288.85,288.61,288.41,289.29,63639.99620798
2017-09-28,455.25,280.8,307.615,307.02,307.03,308.2,212519.30888963
2017-09-27,299.5,229.53,292.39,292.21,292.21,292.57,97062.24811875
2017-09-26,236.0,229.33,232.23,231.85,231.89,232.57,9019.08864685
2017-09-25,236.0,196.15,231.66,232.0,231.05,232.27,29887.7469846
2017-09-24,208.2,199.46,204.32,204.11,203.92,204.72,7408.21661567
2017-09-23,218.66,191.63,203.015,202.92,202.92,203.11,19481.24844214
2017-09-22,205.61,173.6,196.98,197.0,196.96,197.0,32663.26037715
2017-09-21,192.15,174.9,175.855,175.75,175.71,176.0,7925.16642032
2017-09-20,195.0,183.0,191.175,191.85,190.85,191.5,5430.93671985
2017-09-19,197.39,181.31,188.15,187.78,187.78,188.52,13319.987647
2017-09-18,196.5,176.91,193.43,193.13,193.11,193.75,13895.48748421
2017-09-17,181.14,166.27,178.54,178.21,177.88,179.2,9196.01805842
2017-09-16,191.2,167.36,178.86,178.97,178.21,179.51,11816.3123201
2017-09-15,192.42,142.14,190.605,191.27,189.97,191.24,28235.75884281
2017-09-14,206.89,165.01,168.795,169.1,167.76,169.83,18703.17031905
2017-09-13,213.1,182.12,202.23,202.71,202.0,202.46,17785.60593362
2017-09-12,225.49,204.09,211.125,210.85,210.86,211.39,10514.04738659
2017-09-11,222.31,208.62,214.585,214.98,214.19,214.98,5021.73719267
2017-09-10,228.9,198.0,219.895,219.8,219.8,219.99,11678.80053175
